Date,Emp_ID,Emp_Name,Model,Line,Stage,Stage_Criticality,Units_Checked,Total_Errors,Defect_Rate,Pass_Ratio,Error_Std_Dev,Critical_Exposure,Suitability_Score
2026-01-13,1007,Neha,Fortuner,BE-07,Cosmetic,Normal,1950,0,0,1,0.69,24,85.1
2026-01-11,1009,Kiran,Fortuner,BE-07,PCB,Critical,1886,3,0.0016,0.998,0.27,10,88
2026-01-16,1005,Puja,Prado NA,BE-07,Cosmetic,Normal,1712,1,0.0006,0.999,1.16,22,80.19
2026-01-15,1001,Anuj,Fortuner,BE-07,Inner VI,Semi-Critical,2065,2,0.001,0.999,1.14,76,84.86
2026-01-12,1008,Saurabh,Prado EU,BE-09,Camera,Critical,1847,2,0.0011,0.999,0.43,104,94.28
2026-01-14,1001,Anuj,Innova,BE-07,PCB,Critical,2223,2,0.0009,0.999,1.13,119,88.55
2026-01-11,1002,Kajal,Fortuner,BE-09,Camera,Critical,2297,1,0.0004,0.999,0.45,69,91.22
2026-01-16,1001,Anuj,Prado EU,BE-07,RF Cable,Critical,1781,4,0.0022,0.997,0.33,116,96.19
2026-01-10,1005,Puja,Innova,BE-07,Inner VI,Semi-Critical,2270,3,0.0013,0.998,0.54,114,94
2026-01-15,1004,Rishi,Prado EU,BE-09,Cosmetic,Normal,1948,2,0.001,0.999,0.81,38,84.99
2026-01-16,1002,Kajal,Innova,BE-07,Battery,Semi-Critical,1553,1,0.0006,0.999,0.71,51,87.1
2026-01-16,1005,Puja,Prado EU,BE-07,Cosmetic,Normal,2077,4,0.0019,0.997,0.67,55,87.73
2026-01-14,1006,Shubham,Prado EU,BE-08,PCB,Critical,1834,4,0.0022,0.997,0.59,88,91.25
2026-01-16,1005,Puja,Fortuner,BE-09,Camera,Critical,1704,1,0.0006,0.999,0.64,27,85.8
2026-01-11,1006,Shubham,Prado NA,BE-08,Battery,Semi-Critical,1859,1,0.0005,0.999,0.62,36,86.75
2026-01-14,1003,Ritesh,Prado NA,BE-08,RF Cable,Critical,2288,1,0.0004,0.999,0.11,5,89.28
2026-01-16,1002,Kajal,Fortuner,BE-08,PCB,Critical,1577,1,0.0006,0.999,0.58,90,91.65
2026-01-16,1001,Anuj,Fortuner,BE-08,Camera,Critical,1756,0,0,1,1.18,51,82.45
2026-01-12,1010,Maya,Innova,BE-09,Battery,Semi-Critical,1577,1,0.0006,0.999,0.3,11,87.87
2026-01-10,1002,Kajal,Prado NA,BE-09,Camera,Critical,2238,1,0.0004,0.999,0.22,43,91.35
2026-01-11,1006,Shubham,Innova,BE-07,Camera,Critical,1625,0,0,1,0.71,72,88.9
2026-01-15,1002,Kajal,Fortuner,BE-08,Battery,Semi-Critical,1610,2,0.0012,0.998,0.45,105,94.15
2026-01-15,1002,Kajal,Innova,BE-08,RF Cable,Critical,1814,3,0.0017,0.998,0.3,8,87.54
2026-01-16,1008,Saurabh,Prado EU,BE-08,PCB,Critical,2258,0,0,1,0.84,28,83.93
2026-01-11,1004,Rishi,Innova,BE-09,Battery,Semi-Critical,1574,2,0.0013,0.998,0.8,61,86.99
2026-01-16,1008,Saurabh,Prado NA,BE-08,Camera,Critical,1934,3,0.0016,0.998,0.88,16,82.41
2026-01-14,1006,Shubham,Innova,BE-08,Inner VI,Semi-Critical,1638,1,0.0006,0.999,0.44,14,86.72
2026-01-16,1002,Kajal,Fortuner,BE-08,Inner VI,Semi-Critical,1667,1,0.0006,0.999,0.91,79,87.43
2026-01-15,1007,Neha,Prado NA,BE-09,RF Cable,Critical,2105,0,0,1,0.9,54,85.5
2026-01-15,1009,Kiran,Fortuner,BE-08,Camera,Critical,2087,3,0.0014,0.998,0.99,105,88.73
2026-01-11,1003,Ritesh,Fortuner,BE-09,Inner VI,Semi-Critical,1664,2,0.0012,0.998,1.05,93,87.16
2026-01-10,1008,Saurabh,Prado NA,BE-09,Cosmetic,Normal,2299,1,0.0004,0.999,0.6,29,86.38
2026-01-11,1007,Neha,Fortuner,BE-09,Camera,Critical,2115,1,0.0005,0.999,0.4,55,90.55
2026-01-10,1001,Anuj,Prado EU,BE-08,Battery,Semi-Critical,1977,2,0.001,0.999,0.3,59,91.84
2026-01-16,1002,Kajal,Prado NA,BE-07,Camera,Critical,2016,3,0.0015,0.998,0.15,60,93.38
2026-01-13,1004,Rishi,Innova,BE-08,Battery,Semi-Critical,2184,2,0.0009,0.999,0.3,73,93.01
2026-01-15,1010,Maya,Prado EU,BE-07,Cosmetic,Normal,1633,1,0.0006,0.999,0.18,17,89.56
2026-01-10,1001,Anuj,Fortuner,BE-09,Battery,Semi-Critical,2182,2,0.0009,0.999,0.85,110,90.59
2026-01-16,1010,Maya,Prado NA,BE-07,PCB,Critical,1550,4,0.0026,0.996,1.01,58,84.51
2026-01-16,1006,Shubham,Fortuner,BE-07,RF Cable,Critical,2160,2,0.0009,0.999,0.72,39,85.97
2026-01-10,1010,Maya,Innova,BE-08,RF Cable,Critical,1885,3,0.0016,0.998,1.1,58,83.71
2026-01-13,1005,Puja,Prado NA,BE-07,PCB,Critical,1676,2,0.0012,0.998,0.62,85,90.79
2026-01-14,1004,Rishi,Prado EU,BE-09,Cosmetic,Normal,1841,0,0,1,0.6,5,84.42
2026-01-11,1003,Ritesh,Prado NA,BE-08,RF Cable,Critical,2222,2,0.0009,0.999,1,23,81.85
2026-01-14,1003,Ritesh,Innova,BE-09,Camera,Critical,1693,2,0.0012,0.998,0.12,12,89.7
2026-01-12,1003,Ritesh,Innova,BE-07,Camera,Critical,1957,6,0.0031,0.996,0.3,91,94.34
2026-01-12,1008,Saurabh,Fortuner,BE-08,Cosmetic,Normal,2260,1,0.0004,0.999,0.29,38,90.23
2026-01-16,1008,Saurabh,Prado EU,BE-09,Cosmetic,Normal,1990,2,0.001,0.999,0.39,86,93.19
2026-01-11,1001,Anuj,Prado NA,BE-09,Inner VI,Semi-Critical,1646,0,0,1,0.77,86,89.47
2026-01-13,1005,Puja,Prado NA,BE-07,Battery,Semi-Critical,2022,0,0,1,0.71,16,84.23
2026-01-11,1006,Shubham,Prado EU,BE-09,Cosmetic,Normal,1725,1,0.0006,0.999,0.94,85,87.63
2026-01-13,1007,Neha,Prado EU,BE-08,PCB,Critical,1614,3,0.0019,0.998,0.77,114,91.66
2026-01-10,1002,Kajal,Prado EU,BE-08,Inner VI,Semi-Critical,1574,2,0.0013,0.998,0.08,41,92.52
2026-01-11,1007,Neha,Fortuner,BE-07,Inner VI,Semi-Critical,1841,0,0,1,1.05,44,83.17
2026-01-13,1009,Kiran,Prado EU,BE-09,Inner VI,Semi-Critical,1954,2,0.001,0.998,0.51,6,85.32
2026-01-12,1001,Anuj,Innova,BE-09,RF Cable,Critical,2192,2,0.0009,0.999,0.43,117,95.38
2026-01-13,1006,Shubham,Innova,BE-07,Camera,Critical,1554,3,0.0019,0.998,0.31,103,95.34
2026-01-11,1002,Kajal,Prado NA,BE-09,PCB,Critical,1653,2,0.0012,0.998,0.85,108,90.4
2026-01-14,1003,Ritesh,Prado NA,BE-08,RF Cable,Critical,1997,3,0.0015,0.998,0.11,53,93.2
2026-01-13,1009,Kiran,Innova,BE-09,PCB,Critical,1511,5,0.0033,0.995,0.3,93,94.47
2026-01-11,1010,Maya,Prado NA,BE-08,PCB,Critical,2037,0,0,1,1.11,27,81.15
2026-01-14,1010,Maya,Prado EU,BE-09,Cosmetic,Normal,1834,1,0.0005,0.999,1.17,91,85.84
2026-01-14,1004,Rishi,Innova,BE-08,RF Cable,Critical,1901,3,0.0016,0.998,0.58,7,84.66
2026-01-14,1007,Neha,Prado EU,BE-07,Battery,Semi-Critical,1538,0,0,1,0.95,29,82.92
2026-01-14,1010,Maya,Prado EU,BE-09,Battery,Semi-Critical,1949,0,0,1,0.03,17,91.12
2026-01-13,1007,Neha,Innova,BE-07,Cosmetic,Normal,1528,1,0.0007,0.999,0.75,60,87.45
2026-01-13,1010,Maya,Prado EU,BE-08,Cosmetic,Normal,1858,2,0.0011,0.999,0.36,118,96.15
2026-01-10,1005,Puja,Fortuner,BE-09,PCB,Critical,1931,0,0,1,0.51,53,89.32
2026-01-15,1010,Maya,Fortuner,BE-09,Inner VI,Semi-Critical,1560,0,0,1,1.18,67,83.78
2026-01-10,1002,Kajal,Prado EU,BE-07,PCB,Critical,2210,4,0.0018,0.997,0.28,102,95.55
2026-01-14,1001,Anuj,Innova,BE-08,Camera,Critical,1758,3,0.0017,0.998,0.72,117,92.41
2026-01-10,1003,Ritesh,Fortuner,BE-09,Camera,Critical,1561,5,0.0032,0.995,1.03,15,80.68
2026-01-12,1009,Kiran,Prado NA,BE-08,RF Cable,Critical,2237,4,0.0018,0.998,0.45,76,91.69
2026-01-11,1002,Kajal,Fortuner,BE-07,Cosmetic,Normal,1536,0,0,1,0.09,85,96.18
2026-01-13,1003,Ritesh,Prado NA,BE-09,Camera,Critical,1822,2,0.0011,0.999,1.05,23,81.33
2026-01-15,1009,Kiran,Fortuner,BE-09,Inner VI,Semi-Critical,1862,0,0,1,0.13,31,91.28
2026-01-14,1005,Puja,Prado EU,BE-09,RF Cable,Critical,2056,1,0.0005,0.999,0.15,111,97.71
2026-01-10,1002,Kajal,Prado NA,BE-09,Battery,Semi-Critical,1757,2,0.0011,0.999,0.74,117,92.26
2026-01-11,1002,Kajal,Innova,BE-09,Battery,Semi-Critical,1947,2,0.001,0.998,0.65,100,91.75
2026-01-10,1005,Puja,Prado EU,BE-08,Inner VI,Semi-Critical,1777,2,0.0011,0.999,0.85,26,83.58
2026-01-14,1001,Anuj,Fortuner,BE-09,Cosmetic,Normal,1973,0,0,1,1.19,51,82.35
2026-01-12,1003,Ritesh,Innova,BE-08,Battery,Semi-Critical,1880,1,0.0005,0.999,0.45,36,88.46
2026-01-14,1007,Neha,Innova,BE-08,Camera,Critical,1981,2,0.001,0.999,0.2,33,90.67
2026-01-14,1004,Rishi,Prado NA,BE-09,Cosmetic,Normal,1958,0,0,1,0.18,96,96.2
2026-01-16,1005,Puja,Prado EU,BE-07,RF Cable,Critical,1583,1,0.0006,0.999,0.49,42,88.55
2026-01-14,1003,Ritesh,Fortuner,BE-09,PCB,Critical,2292,3,0.0013,0.998,0.24,97,95.58
2026-01-13,1002,Kajal,Prado EU,BE-09,Battery,Semi-Critical,1698,1,0.0006,0.999,1.11,7,79.44
2026-01-10,1009,Kiran,Fortuner,BE-09,Cosmetic,Normal,1705,1,0.0006,0.999,0.67,52,87.59
2026-01-10,1006,Shubham,Fortuner,BE-07,Cosmetic,Normal,2000,0,0,1,0.37,81,93.05
2026-01-10,1002,Kajal,Fortuner,BE-09,Cosmetic,Normal,1819,2,0.0011,0.998,0.91,106,89.64
2026-01-15,1006,Shubham,Fortuner,BE-07,RF Cable,Critical,1587,1,0.0006,0.999,0.02,58,94.58
2026-01-11,1010,Maya,Prado EU,BE-09,Camera,Critical,1501,2,0.0013,0.998,0.43,107,94.51
2026-01-14,1010,Maya,Innova,BE-09,Cosmetic,Normal,1621,1,0.0006,0.999,0.13,79,95.24
2026-01-15,1006,Shubham,Fortuner,BE-08,PCB,Critical,2273,2,0.0009,0.999,1.14,96,86.53
2026-01-12,1007,Neha,Prado EU,BE-08,RF Cable,Critical,1583,3,0.0019,0.998,0.2,18,89.36
2026-01-14,1007,Neha,Innova,BE-07,Battery,Semi-Critical,2036,1,0.0005,0.999,0.4,12,86.96
2026-01-10,1007,Neha,Innova,BE-09,RF Cable,Critical,2093,0,0,1,0.4,60,91
2026-01-15,1010,Maya,Prado NA,BE-09,RF Cable,Critical,1534,1,0.0007,0.999,1.01,53,84.27
2026-01-11,1010,Maya,Prado NA,BE-09,Inner VI,Semi-Critical,1523,1,0.0007,0.999,1.19,28,80.38
2026-01-16,1009,Kiran,Prado EU,BE-09,Battery,Semi-Critical,1749,1,0.0006,0.999,1.08,10,79.99
2026-01-13,1003,Ritesh,Fortuner,BE-08,Camera,Critical,1745,2,0.0011,0.998,0.28,30,89.6
2026-01-15,1007,Neha,Fortuner,BE-09,Camera,Critical,2025,3,0.0015,0.998,1.04,115,89.07
2026-01-11,1009,Kiran,Innova,BE-07,Battery,Semi-Critical,1629,0,0,1,0.37,32,88.97
2026-01-11,1005,Puja,Prado NA,BE-08,PCB,Critical,1923,2,0.001,0.999,1.06,18,80.82
2026-01-14,1009,Kiran,Innova,BE-07,PCB,Critical,1632,2,0.0012,0.998,0.2,111,97.16
2026-01-16,1005,Puja,Prado NA,BE-08,PCB,Critical,1996,4,0.002,0.998,1.18,77,84.47
2026-01-11,1001,Anuj,Fortuner,BE-07,RF Cable,Critical,1697,1,0.0006,0.999,0.7,16,84.29
2026-01-16,1002,Kajal,Fortuner,BE-08,RF Cable,Critical,1625,4,0.0025,0.997,0.8,88,89.14
2026-01-15,1004,Rishi,Prado NA,BE-09,Camera,Critical,2245,1,0.0004,0.999,0.88,33,83.92
2026-01-13,1006,Shubham,Prado NA,BE-07,Camera,Critical,1692,6,0.0035,0.996,1.12,50,82.7
2026-01-10,1003,Ritesh,Prado NA,BE-07,Cosmetic,Normal,1552,2,0.0013,0.998,0.73,67,88.18
2026-01-14,1009,Kiran,Prado EU,BE-08,Inner VI,Semi-Critical,2084,0,0,1,0.13,102,97.2
2026-01-16,1004,Rishi,Prado NA,BE-07,Cosmetic,Normal,1518,3,0.002,0.997,0.14,58,93.27
2026-01-10,1001,Anuj,Innova,BE-08,Battery,Semi-Critical,2210,1,0.0005,0.999,0.72,100,91.1
2026-01-14,1010,Maya,Prado NA,BE-08,RF Cable,Critical,2121,3,0.0014,0.998,1.02,32,82.35
2026-01-16,1009,Kiran,Prado EU,BE-08,Battery,Semi-Critical,1632,1,0.0006,0.999,0.73,52,86.98
2026-01-14,1002,Kajal,Fortuner,BE-09,Battery,Semi-Critical,1926,0,0,1,0.01,51,94.15
2026-01-14,1009,Kiran,Fortuner,BE-07,Battery,Semi-Critical,2214,1,0.0005,0.999,0.23,82,94.5
2026-01-10,1004,Rishi,Prado NA,BE-08,Cosmetic,Normal,2038,2,0.001,0.999,0.86,6,81.83
2026-01-16,1009,Kiran,Innova,BE-07,Cosmetic,Normal,1958,0,0,1,0.96,35,83.32
2026-01-11,1010,Maya,Innova,BE-09,Inner VI,Semi-Critical,1797,2,0.0011,0.998,0.45,49,89.49
2026-01-11,1007,Neha,Prado NA,BE-07,Cosmetic,Normal,1617,1,0.0006,0.999,0.78,92,89.82
2026-01-11,1010,Maya,Prado NA,BE-08,PCB,Critical,1653,1,0.0006,0.999,1.02,43,83.33
2026-01-10,1003,Ritesh,Prado EU,BE-07,Battery,Semi-Critical,1938,1,0.0005,0.999,1.04,25,81.64
2026-01-11,1003,Ritesh,Fortuner,BE-09,Battery,Semi-Critical,1954,1,0.0005,0.999,0.71,29,85.28
2026-01-13,1007,Neha,Prado EU,BE-09,Inner VI,Semi-Critical,2157,1,0.0005,0.999,0.83,107,90.58
2026-01-10,1004,Rishi,Fortuner,BE-07,Camera,Critical,1601,2,0.0012,0.998,1.07,7,79.79
2026-01-11,1006,Shubham,Innova,BE-08,PCB,Critical,2207,3,0.0014,0.998,0.33,76,92.92
2026-01-14,1010,Maya,Prado NA,BE-07,RF Cable,Critical,1841,5,0.0027,0.997,0.67,40,86.43
2026-01-15,1009,Kiran,Prado NA,BE-09,Camera,Critical,1945,2,0.001,0.999,1.18,7,78.7
2026-01-11,1003,Ritesh,Fortuner,BE-09,Cosmetic,Normal,2016,2,0.001,0.999,0.11,26,90.99
2026-01-11,1001,Anuj,Prado NA,BE-08,Inner VI,Semi-Critical,2283,1,0.0004,0.999,0.14,27,90.82
2026-01-11,1009,Kiran,Innova,BE-08,Inner VI,Semi-Critical,2269,2,0.0009,0.999,0.54,72,90.53
2026-01-14,1003,Ritesh,Innova,BE-08,Cosmetic,Normal,1642,2,0.0012,0.998,0.14,86,95.66
2026-01-14,1008,Saurabh,Innova,BE-08,Camera,Critical,2169,1,0.0005,0.999,0.98,19,81.75
2026-01-15,1002,Kajal,Prado EU,BE-07,RF Cable,Critical,1965,5,0.0025,0.996,0.17,84,95.09
2026-01-13,1004,Rishi,Prado NA,BE-09,RF Cable,Critical,1982,1,0.0005,0.999,0.08,102,97.66
2026-01-16,1004,Rishi,Prado EU,BE-07,Inner VI,Semi-Critical,1511,2,0.0013,0.998,0.53,64,89.93
2026-01-10,1002,Kajal,Prado EU,BE-08,Battery,Semi-Critical,2162,0,0,1,0.94,14,81.77
2026-01-10,1002,Kajal,Fortuner,BE-08,Inner VI,Semi-Critical,1555,0,0,1,0.2,25,90.08
2026-01-16,1003,Ritesh,Prado EU,BE-09,Battery,Semi-Critical,2108,3,0.0014,0.998,0.75,42,85.89
2026-01-16,1005,Puja,Prado NA,BE-07,Battery,Semi-Critical,2202,1,0.0005,0.999,0.5,18,86.46
2026-01-16,1006,Shubham,Prado NA,BE-08,Inner VI,Semi-Critical,2009,0,0,1,0.5,106,93.83
2026-01-13,1007,Neha,Prado NA,BE-09,Camera,Critical,1922,3,0.0016,0.998,0.08,36,92.08
2026-01-13,1001,Anuj,Prado EU,BE-09,Battery,Semi-Critical,1894,2,0.0011,0.999,0.18,56,92.78
2026-01-10,1009,Kiran,Fortuner,BE-07,Inner VI,Semi-Critical,1935,1,0.0005,0.999,0.16,68,94.02
2026-01-14,1009,Kiran,Fortuner,BE-09,PCB,Critical,1629,1,0.0006,0.999,0.05,64,94.78
2026-01-13,1007,Neha,Prado NA,BE-09,Camera,Critical,2275,3,0.0013,0.998,0.18,36,91.09
2026-01-12,1005,Puja,Fortuner,BE-07,Inner VI,Semi-Critical,1699,0,0,1,0.09,28,91.43
2026-01-16,1005,Puja,Innova,BE-09,Battery,Semi-Critical,1776,1,0.0006,0.999,1.16,87,85.6
2026-01-10,1010,Maya,Innova,BE-07,Inner VI,Semi-Critical,2272,2,0.0009,0.999,0.1,96,96.93
2026-01-10,1009,Kiran,Prado EU,BE-09,Camera,Critical,1962,1,0.0005,0.999,0.93,45,84.41
2026-01-14,1002,Kajal,Fortuner,BE-09,Camera,Critical,1648,0,0,1,0.14,17,90.02
2026-01-11,1002,Kajal,Prado EU,BE-08,RF Cable,Critical,2021,2,0.001,0.999,0.52,93,92.47
2026-01-11,1004,Rishi,Fortuner,BE-08,Inner VI,Semi-Critical,1671,0,0,1,0.77,103,90.88
2026-01-16,1007,Neha,Fortuner,BE-09,PCB,Critical,2279,3,0.0013,0.998,0.87,11,82.11
2026-01-14,1006,Shubham,Prado NA,BE-09,Cosmetic,Normal,1734,0,0,1,0.87,6,81.8
2026-01-14,1004,Rishi,Prado NA,BE-07,RF Cable,Critical,2061,1,0.0005,0.999,0.88,47,85.08
2026-01-16,1008,Saurabh,Prado NA,BE-07,RF Cable,Critical,2202,0,0,1,0.11,112,98.23
2026-01-13,1008,Saurabh,Fortuner,BE-09,Camera,Critical,1685,0,0,1,0.87,69,87.05
2026-01-13,1010,Maya,Fortuner,BE-08,Camera,Critical,1990,3,0.0015,0.998,0.45,13,86.46
2026-01-14,1010,Maya,Prado NA,BE-09,Camera,Critical,1813,0,0,1,0.24,38,90.77
2026-01-15,1003,Ritesh,Innova,BE-08,Cosmetic,Normal,1710,1,0.0006,0.999,0.87,28,83.59
2026-01-13,1005,Puja,Fortuner,BE-07,Cosmetic,Normal,1968,0,0,1,0.03,50,93.87
2026-01-11,1004,Rishi,Prado EU,BE-08,PCB,Critical,1618,3,0.0019,0.998,0.84,28,83.79
2026-01-14,1003,Ritesh,Fortuner,BE-08,Battery,Semi-Critical,1559,0,0,1,0.18,28,90.53
2026-01-10,1010,Maya,Prado EU,BE-09,Cosmetic,Normal,1616,2,0.0012,0.998,0.39,59,90.92
2026-01-16,1004,Rishi,Innova,BE-09,PCB,Critical,2262,3,0.0013,0.998,0.77,24,84.2
2026-01-11,1006,Shubham,Prado EU,BE-09,Cosmetic,Normal,1623,1,0.0006,0.999,0.22,65,93.17
2026-01-12,1001,Anuj,Prado NA,BE-07,Cosmetic,Normal,1753,3,0.0017,0.998,1.02,30,82.17
2026-01-11,1005,Puja,Innova,BE-07,Battery,Semi-Critical,1548,2,0.0013,0.998,0.06,43,92.88
2026-01-13,1008,Saurabh,Fortuner,BE-07,PCB,Critical,2111,1,0.0005,0.999,0.16,35,91.28
2026-01-16,1004,Rishi,Fortuner,BE-08,Inner VI,Semi-Critical,1907,0,0,1,0.31,39,90.15
2026-01-11,1008,Saurabh,Prado EU,BE-09,Camera,Critical,1899,3,0.0016,0.998,0.04,88,96.81
2026-01-11,1009,Kiran,Fortuner,BE-09,Inner VI,Semi-Critical,1695,0,0,1,0.1,19,90.58
2026-01-11,1004,Rishi,Prado NA,BE-07,Inner VI,Semi-Critical,1925,3,0.0016,0.998,0.17,91,95.75
2026-01-15,1003,Ritesh,Innova,BE-07,RF Cable,Critical,1883,2,0.0011,0.998,0.5,75,91.16
2026-01-15,1001,Anuj,Prado EU,BE-08,Inner VI,Semi-Critical,2072,2,0.001,0.999,0.65,74,89.59
2026-01-16,1001,Anuj,Fortuner,BE-08,Camera,Critical,2016,4,0.002,0.997,0.65,92,91
2026-01-15,1010,Maya,Fortuner,BE-08,RF Cable,Critical,2203,2,0.0009,0.999,0.65,72,89.42
2026-01-10,1008,Saurabh,Innova,BE-08,Inner VI,Semi-Critical,1578,2,0.0013,0.998,1.18,30,80.6
2026-01-12,1009,Kiran,Prado EU,BE-09,Cosmetic,Normal,1543,1,0.0006,0.999,0.79,93,89.8
2026-01-10,1003,Ritesh,Fortuner,BE-07,Inner VI,Semi-Critical,1806,0,0,1,0.11,96,96.9
2026-01-16,1005,Puja,Fortuner,BE-09,PCB,Critical,2058,2,0.001,0.999,0.67,6,83.72
